crime,number,location,BEAT,neighborhood,npu,lat,long,type,road,neighbourhood_lookup,county,postcode,ZONE,crimeid_x,dateid,neighborhoodid,npuid,neighbourhood_lookupid,locationid,BEATid,ZONEid,day,month,quarter,year,count_crime_type
LARCENY-NON VEHICLE,142821262,801 JAMES JACKSON PKWY NW,109,Center Hill,J,33.77672,-84.47348,house_number,James Jackson Parkway Northwest,Center Hill,Fulton County,30318,1,3,147,7,6,7,5194,7,5,9,10,4,2014,1
LARCENY-FROM VEHICLE,142821357,373 BROOKS AVE NE,608,Candler Park,N,33.76451,-84.33377,house_number,Brooks Avenue Northeast,Candler Park,DeKalb County,30307,6,2,147,82,5,76,5195,64,3,9,10,4,2014,1
AUTO THEFT,142821360,606 PEARCE ST SW,301,Adair Park,V,33.72956,-84.40819,house_number,Metropolitan Parkway Southwest,Capitol View,Fulton County,30310,3,1,147,53,8,2,5196,2,2,9,10,4,2014,1
LARCENY-FROM VEHICLE,142821475,358 GRANT PARK PL SE,605,Grant Park,W,33.73276,-84.37607,house_number,Grant Park Place Southeast,Peoplestown,Fulton County,30315,6,2,147,10,9,11,5197,11,3,9,10,4,2014,1
LARCENY-FROM VEHICLE,142821564,2416 PIEDMONT RD,211,Lindbergh/Morosgo,B,33.82098,-84.3685,amenity,Piedmont Road Northeast,Lindbergh,Fulton County,30324,2,2,147,8,7,8,1659,8,6,9,10,4,2014,1
BURGLARY-NONRES,142821764,2115 MONROE DR NE,212,Piedmont Heights,F,33.81007,-84.3713,house_number,Monroe Drive Northeast,Mayfair,Fulton County,30324,2,8,147,71,16,61,539,60,6,9,10,4,2014,1
AGG ASSAULT,142821785,1021 HOWELL MILL RD NW,501,Home Park,E,33.78268,-84.41129,house_number,Edgehill Avenue Northwest,Howell Station,Fulton County,30318,5,5,147,46,11,58,5198,48,4,9,10,4,2014,1
LARCENY-NON VEHICLE,142821796,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201,amenity,Alabama Street Southwest,Five Points,Fulton County,30303,5,3,147,5,3,9,139,25,4,9,10,4,2014,1
LARCENY-FROM VEHICLE,142821813,1120 MORELAND AVE SE,607,East Atlanta,W,33.7243,-84.34933,amenity,Moreland Avenue Southeast,Brownwood,DeKalb County,30316,6,2,147,24,9,35,5199,50,3,9,10,4,2014,1
AUTO THEFT,142821901,350 WOODWARD AVE SE,605,Grant Park,W,33.74575,-84.37612,house_number,Woodward Avenue Southeast,Cabbagetown,Fulton County,30312,6,1,147,10,9,67,5200,11,3,9,10,4,2014,1
LARCENY-NON VEHICLE,142822064,725 PONCE DE LEON AVE NE @KROGER - PONCE,602,Poncey-Highland,N,33.77171,-84.36341,shop,Ford Place Northeast,Linwood,Fulton County,30306,6,3,147,64,5,30,5201,6,3,9,10,4,2014,1
LARCENY-NON VEHICLE,142822079,590 CASCADE AVE SW @KROGER - CASCADE,402,West End,T,33.73812,-84.43276,shop,Oglethorpe Avenue Southwest,Westview,Fulton County,30310,4,3,147,1,1,18,53,35,1,9,10,4,2014,1
LARCENY-NON VEHICLE,142822095,2175 PIEDMONT RD NE,211,Lindridge/Martin Manor,F,33.81629,-84.36658,house_number,Piedmont Road Northeast,Lindbergh,Fulton County,30324,2,3,147,76,16,8,5202,8,6,9,10,4,2014,1
LARCENY-NON VEHICLE,142822116,235 PEACHTREE ST NE ,509,Downtown,M,33.76044,-84.38702,building,Peachtree Street Northeast,Hotel District,Fulton County,30303,5,3,147,5,3,5,2837,5,4,9,10,4,2014,1
LARCENY-NON VEHICLE,142822189,1776 PEACHTREE ST NW,207,Brookwood,E,33.80284,-84.39407,house_number,26th Street Northwest,Brookwood,Fulton County,30309,2,3,147,12,11,13,4759,13,6,9,10,4,2014,1
LARCENY-NON VEHICLE,142822237,240 N HIGHLAND AVE NE,602,Inman Park,N,33.76183,-84.36026,amenity,North Highland Avenue Northeast,Inman Park,Fulton County,30307,6,3,147,6,5,3,4809,6,3,9,10,4,2014,1
LARCENY-FROM VEHICLE,142822331,77 THAYER AVE SE,305,South Atlanta,Y,33.71519,-84.38569,house_number,Thayer Avenue Southeast,Roseland,Fulton County,30315,3,2,147,48,12,16,5203,16,2,9,10,4,2014,1
AGG ASSAULT,142822527,176 MILLS ST NW,504,Downtown,M,33.76522,-84.39328,house_number,Mills Street Northwest,Hotel District,Fulton County,30313,5,5,147,5,3,5,5204,45,4,9,10,4,2014,1
LARCENY-NON VEHICLE,142822537,3050 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75237,-84.48653,house_number,Martin Luther King Junior Drive Southwest,Stratford,Fulton County,30311,4,3,147,70,13,19,5007,59,1,9,10,4,2014,1
LARCENY-NON VEHICLE,142822598,850 OAK ST SW,401,West End,T,33.74057,-84.4168,office,Oak Street Southwest,West End,Fulton County,30310,4,3,147,1,1,1,1,1,1,9,10,4,2014,1
LARCENY-FROM VEHICLE,142822646,403 WOODWARD AVE SE,605,Grant Park,W,33.74532,-84.37434,house_number,Woodward Avenue Southeast,Cabbagetown,Fulton County,30312,6,2,147,10,9,67,5205,11,3,9,10,4,2014,1
ROBBERY-PEDESTRIAN,142822708,820 WOODLAND AVE SE,607,Ormewood Park,W,33.7322,-84.35142,house_number,Woodland Avenue Southeast,Ormewood,Fulton County,30316,6,4,147,60,9,52,5206,50,3,9,10,4,2014,1
LARCENY-FROM VEHICLE,142822754,266 ATLANTA AVE SE,304,Peoplestown,V,33.73057,-84.37916,house_number,Atlanta Avenue Southeast,Peoplestown,Fulton County,30315,3,2,147,34,8,11,5207,36,2,9,10,4,2014,1
ROBBERY-PEDESTRIAN,142822794,1038 GLENWOOD AVE SE,606,Ormewood Park,W,33.74027,-84.35379,house_number,Glenwood Avenue Southeast,Glenwood Park,Fulton County,30316,6,4,147,60,9,75,5208,51,3,9,10,4,2014,1
LARCENY-FROM VEHICLE,142822901,672 BRYAN ST SE,606,Grant Park,W,33.74434,-84.36562,house_number,Bryan Street Southeast,Cabbagetown,Fulton County,30312,6,2,147,10,9,67,5209,51,3,9,10,4,2014,1
BURGLARY-RESIDENCE,142822981,3200 LENOX RD NE,210,Pine Hills,B,33.84293,-84.35825,house_number,Lenox Road,The Hill,Fulton County,30324,2,7,147,20,7,20,3272,21,6,9,10,4,2014,1
LARCENY-NON VEHICLE,142823005,300 N HIGHLAND AVE NE,602,Inman Park,N,33.76284,-84.35859,amenity,North Highland Avenue Northeast,Inman Park,Fulton County,30307,6,3,147,6,5,3,5210,6,3,9,10,4,2014,1
BURGLARY-RESIDENCE,142823164,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805,house_number,Constitution Road Southeast,Cornell,Fulton County,30315,3,7,147,90,20,57,1135,62,2,9,10,4,2014,1
LARCENY-NON VEHICLE,142823246,54 PEACHTREE ST SW,511,Downtown,M,33.75286,-84.3912,tourism,Peachtree Street Southwest,South Downtown,Fulton County,30303,5,3,147,5,3,41,287,25,4,9,10,4,2014,1
AGG ASSAULT,142812910,210 MILTON AVE SE,305,Chosewood Park,Y,33.72001,-84.3809,house_number,Milton Avenue Southeast,Roseland,Fulton County,30315,3,5,147,15,12,16,5211,16,2,9,10,4,2014,1
AGG ASSAULT,142710055,1150 CRESCENT AVE NE ,503,Midtown,E,33.78601,-84.38437,house_number,Crescent Avenue Northeast,Midtown,Fulton County,30309,5,5,147,25,11,24,3081,27,4,9,10,4,2014,1
AGG ASSAULT,142812912,37 HUTCHINSON ST NE,609,Edgewood,O,33.75454,-84.34061,house_number,Hutchinson Street Northeast,Edgewood,DeKalb County,30307,6,5,148,11,10,12,3742,12,3,8,10,4,2014,1
AGG ASSAULT,142812918,49 BOULEVARD NE,604,Old Fourth Ward,M,33.75565,-84.37202,house_number,Auburn Avenue Northeast,Inman Park,Fulton County,30312,6,5,148,3,3,3,1229,3,3,8,10,4,2014,1
AGG ASSAULT,142813017,407 AUBURN AVE SE,604,Sweet Auburn,M,33.75421,-84.37254,amenity,Edgewood Avenue Northeast,Sweet Auburn,Fulton County,30312,6,5,148,49,3,26,5212,3,3,8,10,4,2014,1
AUTO THEFT,142803269,759 MARTIN L KING JR DR NW,102,Vine City,L,33.75495,-84.41234,house_number,James P Brawley Drive Northwest,Vine City,Fulton County,30314,1,1,148,35,17,46,5213,37,5,8,10,4,2014,1
ROBBERY-PEDESTRIAN,142810118,171 AUBURN AVE NE @KINGSMEN MOTEL,510,Downtown,M,33.75546,-84.38185,shop,Auburn Avenue Northeast,Sweet Auburn,Fulton County,30303,5,4,148,5,3,26,1125,30,4,8,10,4,2014,1
LARCENY-FROM VEHICLE,142810216,2124 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81307,-84.35424,leisure,Cheshire Bridge Road,Woodland Hills,Fulton County,30324,2,2,148,76,16,65,375,60,6,8,10,4,2014,1
LARCENY-FROM VEHICLE,142810579,349 DECATUR ST SE,604,Sweet Auburn,M,33.74988,-84.37788,building,Decatur Street Southeast,Capitol Gateway,Fulton County,30312,6,2,148,49,3,56,3391,3,3,8,10,4,2014,1
LARCENY-FROM VEHICLE,142810670,1396 GAULT ST SE,305,Chosewood Park,Y,33.71618,-84.37203,house_number,Gault Street Southeast,Roseland,Fulton County,30315,3,2,148,15,12,16,5214,16,2,8,10,4,2014,1
AUTO THEFT,142810719,287 14TH ST NW,501,Home Park,E,33.78637,-84.3964,building,14th Street Northwest,Howell Station,Fulton County,30318,5,1,148,46,11,58,5215,48,4,8,10,4,2014,1
BURGLARY-RESIDENCE,142810765,2800 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75431,-84.4793,house_number,Martin Luther King Junior Drive Southwest,Stratford,Fulton County,30311,4,7,148,70,13,19,1708,59,1,8,10,4,2014,1
LARCENY-FROM VEHICLE,142810854,188 ORMOND ST SE,304,Summerhill,V,33.73178,-84.38176,house_number,Ormond Street Southeast,Peoplestown,Fulton County,30315,3,2,148,56,8,11,5216,36,2,8,10,4,2014,1
LARCENY-NON VEHICLE,142810899,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,house_number,Martin Luther King Jr Drive Southwest,Vine City,Fulton County,30314,1,3,148,35,17,46,3695,37,5,8,10,4,2014,1
LARCENY-FROM VEHICLE,142810997,34 ARTS CENTER WAY NE,502,Midtown,E,33.78955,-84.38656,highway,Arts Center Way Northeast,Ansley Park,Fulton County,30309,5,2,148,25,11,48,5217,43,4,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811061,I-20 EB EXPY SE / MORELAND AVE SE,606,Ormewood Park,W,33.74534,-84.34923,road,Moreland Avenue Southeast,East Atlanta Village,Fulton County,30316,6,2,148,60,9,23,5218,51,3,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811066,596 REED ST SE,304,Summerhill,V,33.73845,-84.38542,house_number,Reed Street Southeast,Summerhill,Fulton County,30312,3,2,148,56,8,78,5219,36,2,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811083,219 IVAN ALLEN JR BLVD NW,504,Downtown,M,33.76492,-84.39437,house_number,Mills Street Northwest,Hotel District,Fulton County,30313,5,2,148,5,3,5,5220,45,4,8,10,4,2014,1
BURGLARY-RESIDENCE,142811135,2166 BEECHER RD SW,406,Beecher Hills,I,33.7316,-84.45919,house_number,Beecher Road Southwest,Cascade Heights,Fulton County,30311,4,7,148,116,13,63,5221,66,1,8,10,4,2014,1
BURGLARY-RESIDENCE,142811193,123 CLAIRE DR SE,307,Lakewood Heights,Y,33.70486,-84.38421,house_number,Claire Drive Southeast,Lakewood Heights,Fulton County,30315,3,7,148,33,12,32,5222,34,2,8,10,4,2014,1
AUTO THEFT,142811201,488 BECKWITH CT SW,101,Atlanta University Center,T,33.75217,-84.40439,house_number,Beckwith Court Southwest,Castleberry Hill,Fulton County,30314,1,1,148,22,1,14,5223,15,5,8,10,4,2014,1
BURGLARY-RESIDENCE,142811219,1082 VIRGINIA AVE NE,601,Virginia Highland,F,33.78214,-84.35183,house_number,Virginia Avenue Northeast,Virginia Highland,Fulton County,30306,6,7,148,69,16,62,5224,32,3,8,10,4,2014,1
BURGLARY-RESIDENCE,142811383,2599 HOOD AVE NW,109,Center Hill,J,33.77062,-84.47048,house_number,Hood Avenue Northwest,Center Hill,Fulton County,30318,1,7,148,7,6,7,1318,7,5,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811414,76 FORSYTH ST SW ,511,Downtown,M,33.75244,-84.39346,amenity,Forsyth Street Northwest,Five Points,Fulton County,30303,5,2,148,5,3,9,4154,25,4,8,10,4,2014,1
LARCENY-NON VEHICLE,142811558,2525 PIEDMONT RD,211,Lindbergh/Morosgo,B,33.824,-84.36521,shop,Morosgo Drive Northeast,Lindbergh,Fulton County,30324,2,3,148,8,7,8,78,8,6,8,10,4,2014,1
LARCENY-NON VEHICLE,142811672,2190 DEFOOR HILLS RD NW,204,Underwood Hills,D,33.8149,-84.43385,house_number,Defoor Hills Road Northwest,Westover Plantation,Fulton County,30318,2,3,148,85,15,66,5225,29,6,8,10,4,2014,1
LARCENY-NON VEHICLE,142811693,1943 PEACHTREE RD NE,207,Brookwood Hills,E,33.80799,-84.39355,amenity,Peachtree Road,Brookwood,Fulton County,30309,2,3,148,94,11,13,566,13,6,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811737,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,house_number,Glenn Street Southwest,Mechanicsville,Fulton County,30312,3,2,148,9,8,10,441,10,2,8,10,4,2014,1
AGG ASSAULT,142811769,11 ANNISTON AVE SE,610,Kirkwood,O,33.75308,-84.33777,house_number,Anniston Avenue Southeast,Edgewood,DeKalb County,30317,6,5,148,61,10,12,5226,54,3,8,10,4,2014,1
AGG ASSAULT,142811810,916 COLEMAN ST SW,302,Pittsburgh,V,33.72991,-84.40384,house_number,Coleman Street Southwest,Pittsburgh,Fulton County,30310,3,5,148,31,8,31,1888,33,2,8,10,4,2014,1
LARCENY-NON VEHICLE,142811821,844 REGINA DR NW,109,Center Hill,J,33.77648,-84.47302,house_number,Regina Drive Northwest,Center Hill,Fulton County,30318,1,3,148,7,6,7,2160,7,5,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811831,67 GAMMON AVE SE,305,South Atlanta,Y,33.71815,-84.38592,house_number,Gammon Street Southeast,Roseland,Fulton County,30315,3,2,148,48,12,16,5227,16,2,8,10,4,2014,1
BURGLARY-RESIDENCE,142811863,2210 BAKER RD NW,109,Center Hill,J,33.77006,-84.46022,house_number,Baker Road Northwest,Dixie Hills,Fulton County,30318,1,7,148,7,6,21,5228,7,5,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811884,227 PEACHTREE ST SW,512,Downtown,M,33.74835,-84.39519,house_number,Peachtree Street Southwest,South Downtown,Fulton County,30303,5,2,148,5,3,41,5229,40,4,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811897,482 OLD WHEAT ST NE,604,Old Fourth Ward,M,33.75603,-84.37177,house_number,Old Wheat Street Northeast,Inman Park,Fulton County,30312,6,2,148,3,3,3,5230,3,3,8,10,4,2014,1
LARCENY-NON VEHICLE,142811933,441 CLEVELAND AVE SW,309,Perkerson,X,33.68173,-84.40408,house_number,Cleveland Avenue Southwest,Hammond Park,Fulton County,30315,3,3,148,73,2,50,5231,65,2,8,10,4,2014,1
LARCENY-FROM VEHICLE,142811985,341 BLANTON RD NW,202,Chastain Park,A,33.87192,-84.39832,house_number,Blanton Road Northwest,East Conway Hill,Fulton County,30342,2,2,148,96,23,77,5232,68,6,8,10,4,2014,1
BURGLARY-RESIDENCE,142812034,1419 JONESBORO RD SE,305,South Atlanta,Y,33.71575,-84.38389,house_number,Jonesboro Road Southeast,Lakewood Heights,Fulton County,30315,3,7,148,48,12,32,5233,16,2,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812070,1046 KATHERWOOD DR SW,306,Sylvan Hills,X,33.70995,-84.42243,house_number,Katherwood Drive Southwest,Sylvan Hills,Fulton County,30310,3,2,148,39,2,38,5234,42,2,8,10,4,2014,1
ROBBERY-PEDESTRIAN,142812087,770 DECKNER AVE SW @PERKERSON PARK,301,Capitol View,X,33.71208,-84.41314,road,Burchill Street,Sylvan Hills,Fulton County,30330,3,4,148,89,2,38,3487,2,2,8,10,4,2014,1
LARCENY-NON VEHICLE,142812207,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.8195,-84.35199,amenity,Cheshire Bridge Road,The Hill,Fulton County,30324,2,3,148,76,16,20,1695,60,6,8,10,4,2014,1
RAPE,142812246,944 DILL AVENUE SW,301,Capitol View,X,33.71805,-84.41905,road,Dill Avenue Southwest,Capitol View,Fulton County,30310,3,6,148,89,2,2,5235,2,2,8,10,4,2014,1
AUTO THEFT,142812248,24 ELLIOTT ST SW,507,Castleberry Hill,M,33.75347,-84.39793,house_number,Mitchell Street Southwest,Castleberry Hill,Fulton County,30314,5,1,148,13,3,14,5236,14,4,8,10,4,2014,1
AUTO THEFT,142812337,548 NORTHSIDE DR NW,103,English Avenue,L,33.76958,-84.40482,house_number,Northside Drive Northwest,Bellwood,Fulton County,30318,1,1,148,37,17,33,5237,39,5,8,10,4,2014,1
BURGLARY-RESIDENCE,142812342,2175 PENELOPE ST NW,108,Penelope Neighbors,J,33.75484,-84.45656,house_number,Penelope Street Northwest,Battle Hill Haven,Fulton County,30314,1,7,148,86,6,51,5142,22,5,8,10,4,2014,1
AUTO THEFT,142812373,731 JOSEPH E BOONE BLVD NW,103,English Avenue,L,33.76352,-84.41146,house_number,Joseph E. Boone Boulevard Northwest,English Ave.,Fulton County,30314,1,1,148,37,17,22,5238,39,5,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812417,858 JOSEPH E LOWERY BLVD NW,106,Knight Park/Howell Station,K,33.77828,-84.41788,house_number,Joseph E. Lowery Boulevard,Bellwood,Fulton County,30318,1,2,148,28,14,33,5239,23,5,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812504,218 15TH ST NE,502,Ansley Park,E,33.7886,-84.38,house_number,15th Street Northeast,Ansley Park,Fulton County,30309,5,2,148,77,11,48,5240,43,4,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812514,832 MITCHELL ST SW,101,Atlanta University Center,T,33.75325,-84.4148,house_number,Mitchell Street Southwest,Atlanta University Center,Fulton County,30314,1,2,148,22,1,15,5241,15,5,8,10,4,2014,1
ROBBERY-PEDESTRIAN,142812603,280 CONNALLY ST SE,605,Capitol Gateway,V,33.74727,-84.38134,house_number,Connally Street Southeast,Capitol Gateway,Fulton County,30312,6,4,148,100,8,56,5242,11,3,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812604,520 FULTON ST SW;,303,Mechanicsville,V,33.74092,-84.40419,house_number,Fulton Street Southwest,Mechanicsville,Fulton County,30312,3,2,148,9,8,10,373,10,2,8,10,4,2014,1
AGG ASSAULT,142812605,510 ROCKWELL ST SW,302,Pittsburgh,V,33.7317,-84.40428,house_number,Rockwell Street Southwest,Pittsburgh,Fulton County,30310,3,5,148,31,8,31,5243,33,2,8,10,4,2014,1
ROBBERY-PEDESTRIAN,142812608,536 STOKESWOOD AVE SE,612,East Atlanta,W,33.73911,-84.3446,house_number,Flat Shoals Avenue Southeast,East Atlanta Village,DeKalb County,30316,6,4,148,24,9,23,5244,24,3,8,10,4,2014,1
LARCENY-NON VEHICLE,142812617,3400 AROUND LENOX DR NE @AROUND LENOX,210,Lenox,B,33.84578,-84.36489,shop,T. Harvey Mathis Parkway,The Hill,Fulton County,30326,2,3,148,114,7,20,1116,21,6,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812682,1784 PEACHTREE ST NW,207,Ardmore,E,33.80334,-84.39351,amenity,Peachtree Street,Brookwood,Fulton County,30309,2,2,148,92,11,13,4811,13,6,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812688,218 SAVANNAH ST SE,606,Cabbagetown,N,33.74918,-84.36728,house_number,Savannah Street Southeast,Cabbagetown,Fulton County,30316,6,2,148,55,5,67,5245,51,3,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812692,219 12TH ST NE,503,Midtown,E,33.7842,-84.38027,building,12th Street Northeast,Midtown,Fulton County,30309,5,2,148,25,11,24,5246,27,4,8,10,4,2014,1
LARCENY-FROM VEHICLE,142812837,220 SEMEL CIR NW,207,Brookwood,E,33.80231,-84.40086,building,Semel Circle,Brookwood,Fulton County,30309,2,2,148,12,11,13,5247,13,6,8,10,4,2014,1
ROBBERY-PEDESTRIAN,142812893,501 MEANS ST NW,504,Marietta Street Artery,E,33.77251,-84.40394,house_number,Means Street Northwest,Bellwood,Fulton County,30318,5,4,148,42,11,33,5248,45,4,8,10,4,2014,1
LARCENY-NON VEHICLE,142802762,1128 SELLS AVE SW,104,West End,T,33.74506,-84.4246,house_number,Sells Avenue Southwest,Joel Chandler Harris Homes,Fulton County,30310,1,3,149,1,1,64,5249,47,5,7,10,4,2014,1
LARCENY-NON VEHICLE,142802829,235 PEACHTREE ST NE @ATL GAS LIGHT TOWER,509,Downtown,M,33.76044,-84.38702,building,Peachtree Street Northeast,Hotel District,Fulton County,30303,5,3,149,5,3,5,2837,5,4,7,10,4,2014,1
LARCENY-NON VEHICLE,142802832,80 JESSE HILL JR DR SE @GRADY,510,Downtown,M,33.75168,-84.38198,amenity,Downtown Connector,Sweet Auburn,Fulton County,30312,5,3,149,5,3,26,60,30,4,7,10,4,2014,1
LARCENY-FROM VEHICLE,142802866,142 SIMPSON ST NW,508,Downtown,M,33.76324,-84.39178,house_number,Simpson Street Northwest,Hotel District,Fulton County,30313,5,2,149,5,3,5,2143,9,4,7,10,4,2014,1
LARCENY-NON VEHICLE,142802883,1897 CALLOWAY DR NW,108,Dixie Hills,J,33.7578,-84.44931,house_number,Calloway Drive Northwest,Battle Hill Haven,Fulton County,30314,1,3,149,21,6,51,5250,22,5,7,10,4,2014,1
LARCENY-FROM VEHICLE,142802956,192 PEACHTREE CENTER AVE NE,510,Downtown,M,33.75942,-84.3865,amenity,Andrew Young International Boulevard Northeast,Hotel District,Fulton County,30303,5,2,149,5,3,5,3904,30,4,7,10,4,2014,1
ROBBERY-PEDESTRIAN,142802984,230 18TH ST NW,501,Atlantic Station,E,33.79212,-84.39554,shop,Market Street Northwest,Atlantic Station,Fulton County,30363,5,4,149,50,11,47,5251,48,4,7,10,4,2014,1
LARCENY-FROM VEHICLE,142803118,536 BISHOPS WAY NE,604,Old Fourth Ward,M,33.75999,-84.36908,house_number,Bishop Way Northeast,Inman Park,Fulton County,30312,6,2,149,3,3,3,5252,3,3,7,10,4,2014,1
ROBBERY-PEDESTRIAN,142803189,235 GRIFFIN ST NW,102,Vine City,L,33.76102,-84.41092,house_number,Griffin Street Northwest,English Ave.,Fulton County,30314,1,4,149,35,17,22,5253,37,5,7,10,4,2014,1
BURGLARY-RESIDENCE,142803208,872 THURMOND ST NW,102,Vine City,L,33.76026,-84.41603,house_number,Thurmond Street Northwest,Vine City,Fulton County,30314,1,7,149,35,17,46,5254,37,5,7,10,4,2014,1
ROBBERY-PEDESTRIAN,142803259,951 GLENWOOD AVE SE,607,Ormewood Park,W,33.73966,-84.35664,house_number,Glenwood Avenue Southeast,Glenwood Park,Fulton County,30316,6,4,149,60,9,75,5255,50,3,7,10,4,2014,1
LARCENY-NON VEHICLE,142761137,135 WEST WIEUCA RD NW,202,Chastain Park,A,33.87589,-84.39202,house_number,West Wieuca Road Northwest,East Conway Hill,Fulton County,30342,2,3,149,96,23,77,880,68,6,7,10,4,2014,1
LARCENY-FROM VEHICLE,142793086,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,house_number,Mayson Turner Road Northwest,Vine City,Fulton County,30314,1,2,149,35,17,46,722,37,5,7,10,4,2014,1
LARCENY-FROM VEHICLE,142800019,197 MILLS ST NW,504,Downtown,M,33.76541,-84.39378,house_number,Mills Street Northwest,Hotel District,Fulton County,30313,5,2,149,5,3,5,5256,45,4,7,10,4,2014,1
LARCENY-FROM VEHICLE,142800032,244 PETERS ST SW,507,Castleberry Hill,M,33.74754,-84.40146,house_number,Peters Street Southwest,Castleberry Hill,Fulton County,30313,5,2,149,13,3,14,2204,14,4,7,10,4,2014,1
LARCENY-FROM VEHICLE,142800073,80 JESSE HILL JR DR SE @GRADY,510,Downtown,M,33.75168,-84.38198,amenity,Downtown Connector,Sweet Auburn,Fulton County,30312,5,2,149,5,3,26,60,30,4,7,10,4,2014,1
BURGLARY-NONRES,142800356,676 N HIGHLAND AVE NE,602,Poncey-Highland,N,33.77294,-84.35263,amenity,North Highland Avenue Northeast,Linwood,Fulton County,30306,6,8,149,64,5,30,1730,6,3,7,10,4,2014,1
BURGLARY-NONRES,142800490,839 BEECHER ST SW,401,West End,T,33.73374,-84.41519,house_number,Beecher Street Southwest,West End,Fulton County,30310,4,8,149,1,1,1,5257,1,1,7,10,4,2014,1
AUTO THEFT,142800574,370 NORTHSIDE DR NW,103,English Avenue,L,33.76527,-84.40498,house_number,Western Avenue Northwest,English Ave.,Fulton County,30314,1,1,149,37,17,22,62,39,5,7,10,4,2014,1
AUTO THEFT,142800812,82 WESTMINSTER DR NE,502,Ansley Park,E,33.79165,-84.37984,house_number,Westminster Drive Northeast,Ansley Park,Fulton County,30309,5,1,149,77,11,48,1771,43,4,7,10,4,2014,1
BURGLARY-RESIDENCE,142800998,971 MATHEWS ST SW,401,West End,T,33.73484,-84.41959,house_number,Mathews Street Southwest,West End,Fulton County,30310,4,7,149,1,1,1,5258,1,1,7,10,4,2014,1
LARCENY-NON VEHICLE,142801019,843 OAK ST SW,401,West End,T,33.74074,-84.41571,house_number,Oak Street Southwest,West End,Fulton County,30310,4,3,149,1,1,1,5259,1,1,7,10,4,2014,1
LARCENY-FROM VEHICLE,142801028,471 N HIGHLAND AVE NE,602,Inman Park,N,33.76686,-84.35286,house_number,North Highland Avenue Northeast,Inman Park,Fulton County,30307,6,2,149,6,5,3,5260,6,3,7,10,4,2014,1
AUTO THEFT,142801086,240 N HIGHLAND AVE NE,602,Inman Park,N,33.76183,-84.36026,amenity,North Highland Avenue Northeast,Inman Park,Fulton County,30307,6,1,149,6,5,3,4809,6,3,7,10,4,2014,1
LARCENY-NON VEHICLE,142801136,974 WASHINGTON ST SW,304,Peoplestown,V,33.72823,-84.39066,house_number,Washington Street Southwest,Peoplestown,Fulton County,30315,3,3,149,34,8,11,5000,36,2,7,10,4,2014,1
BURGLARY-NONRES,142801163,950 MURPHY AVE SW,301,Adair Park,V,33.7291,-84.41534,house_number,Murphy Avenue Southwest,West End,Fulton County,30310,3,8,149,53,8,1,5261,2,2,7,10,4,2014,1
LARCENY-FROM VEHICLE,142801226,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,house_number,Mayson Turner Road Northwest,Vine City,Fulton County,30314,1,2,149,35,17,46,722,37,5,7,10,4,2014,1
AUTO THEFT,142801280,860 BRIARCLIFF RD NE,601,Virginia Highland,F,33.77811,-84.34648,house_number,Briarcliff Road Northeast,Villa Park,DeKalb County,30306,6,1,149,69,16,69,5262,32,3,7,10,4,2014,1
BURGLARY-RESIDENCE,142801384,1436 DOWNS DR SW,409,Adams Park,R,33.71643,-84.45455,house_number,Downs Drive Southwest,Adams Park,Fulton County,30311,4,7,149,16,4,4,5263,17,1,7,10,4,2014,1
AUTO THEFT,142801406,860 BRIARCLIFF RD NE,601,Virginia Highland,F,33.77822,-84.34708,house_number,Briarcliff Road Northeast,Villa Park,DeKalb County,30306,6,1,149,69,16,69,5264,32,3,7,10,4,2014,1
AUTO THEFT,142801508,369 MCDANIEL ST SW,101,The Villages at Castleberry H,T,33.74505,-84.40523,house_number,McDaniel Street Southwest,Castleberry Hill,Fulton County,30313,1,1,149,14,1,14,1105,15,5,7,10,4,2014,1
